Row Type,CTID,CTDL Type,CTDL Type Label,Name,Description,Finder ID,Last Updated,Owned By/Offered By,Start Date,End Date,Acting Agent - Name,Acting Agent - URL,Instrument - Name,Instrument - URL,Evidence of Action,Object (Action Recipient) - Name,Object (Action Recipient) - URL,Object (Action Recipient) - Description,Object (Action Recipient) - Provider - Name,Object (Action Recipient) - Provider - URL,Finder Detail Page,Registry URI
Resource,ce-708061eb-9bac-4cf5-a843-272425dc4e5e,CredentialingAction,Accredit Action,Accreditation for Texas A&M University,"This institution has been acreditated by the Southern Association of Colleges and Schools Commission on Colleges (SACSCOC). To gain or maintain accreditation with the Commission on Colleges, an institution must comply with the standards contained in the Principles of Accreditation: Foundations for Quality Enhancement and with the policies and procedures of the Commission on Colleges.After accreditation is issued, it must be reaffirmed every 10 years.",6780,"Sep 11, 2025 11:19 AM",Southern Association of College and Schools Commission on Colleges (SACSCOC),2022-12-04,2032-12-01,Southern Association of College and Schools Commission on Colleges (SACSCOC),https://credentialfinder.org/organization/14890,Southern Association of Colleges and Schools Commission on Colleges (SACSCOC) Accreditation,https://credentialfinder.org/resources/ce-57f9372a-42db-41cf-a424-1b346bdb2020,https://sacscoc.org/institutions/,Texas A&M University,https://credentialfinder.org/Organization/3505,Texas A&M University is a public university in Texas.,,,https://credentialfinder.org/CredentialingAction/6780,https://credentialengineregistry.org/resources/ce-708061eb-9bac-4cf5-a843-272425dc4e5e
Resource,ce-6bf95a56-e8f4-4744-af3a-ab938059c1ec,CredentialingAction,Accredit Action,Accreditation for East Texas A&M University,"This institution has been acreditated by the Southern Association of Colleges and Schools Commission on Colleges (SACSCOC). To gain or maintain accreditation with the Commission on Colleges, an institution must comply with the standards contained in the Principles of Accreditation: Foundations for Quality Enhancement and with the policies and procedures of the Commission on Colleges.After accreditation is issued, it must be reaffirmed every 10 years.",7177,"Sep 11, 2025 11:36 AM",Southern Association of College and Schools Commission on Colleges (SACSCOC),2019-12-08,2029-12-01,Southern Association of College and Schools Commission on Colleges (SACSCOC),https://credentialfinder.org/organization/14890,Southern Association of Colleges and Schools Commission on Colleges (SACSCOC) Accreditation,https://credentialfinder.org/resources/ce-57f9372a-42db-41cf-a424-1b346bdb2020,https://sacscoc.org/institutions/,Texas A&M University-Commerce,https://credentialfinder.org/Organization/3506,Texas A&M University-Commerce is a public university in Texas.,,,https://credentialfinder.org/CredentialingAction/7177,https://credentialengineregistry.org/resources/ce-6bf95a56-e8f4-4744-af3a-ab938059c1ec
Resource,ce-2617d140-ca31-4a99-9058-36b89ef6c32c,CredentialingAction,Accredit Action,Accreditation for Prairie View A&M University,"This institution has been acreditated by the Southern Association of Colleges and Schools Commission on Colleges (SACSCOC). To gain or maintain accreditation with the Commission on Colleges, an institution must comply with the standards contained in the Principles of Accreditation: Foundations for Quality Enhancement and with the policies and procedures of the Commission on Colleges.After accreditation is issued, it must be reaffirmed every 10 years.",6911,"Sep 11, 2025 11:25 AM",Southern Association of College and Schools Commission on Colleges (SACSCOC),2021-12-02,2030-12-01,Southern Association of College and Schools Commission on Colleges (SACSCOC),https://credentialfinder.org/organization/14890,Southern Association of Colleges and Schools Commission on Colleges (SACSCOC) Accreditation,https://credentialfinder.org/resources/ce-57f9372a-42db-41cf-a424-1b346bdb2020,https://sacscoc.org/institutions/,Prairie View A&M University,https://credentialfinder.org/Organization/4659,Prairie View A&M University is a public university in Texas.,,,https://credentialfinder.org/CredentialingAction/6911,https://credentialengineregistry.org/resources/ce-2617d140-ca31-4a99-9058-36b89ef6c32c
Resource,ce-c8c2589d-1f44-4474-af2e-f4d957a707dc,CredentialingAction,Accredit Action,Accreditation for Texas A&M International University,"This institution has been acreditated by the Southern Association of Colleges and Schools Commission on Colleges (SACSCOC). To gain or maintain accreditation with the Commission on Colleges, an institution must comply with the standards contained in the Principles of Accreditation: Foundations for Quality Enhancement and with the policies and procedures of the Commission on Colleges.After accreditation is issued, it must be reaffirmed every 10 years.",6764,"Sep 11, 2025 11:19 AM",Southern Association of College and Schools Commission on Colleges (SACSCOC),2015-12-01,2025-12-01,Southern Association of College and Schools Commission on Colleges (SACSCOC),https://credentialfinder.org/organization/14890,Southern Association of Colleges and Schools Commission on Colleges (SACSCOC) Accreditation,https://credentialfinder.org/resources/ce-57f9372a-42db-41cf-a424-1b346bdb2020,https://sacscoc.org/institutions/,Texas A&M International University,https://credentialfinder.org/Organization/4655,Texas A&M International University is a public university in Texas.,,,https://credentialfinder.org/CredentialingAction/6764,https://credentialengineregistry.org/resources/ce-c8c2589d-1f44-4474-af2e-f4d957a707dc
Resource,ce-0413fff0-94aa-45df-a6ac-d6442b8e8d49,CredentialingAction,Accredit Action,Accreditation for Texas A&M University - Kingsville,"This institution has been acreditated by the Southern Association of Colleges and Schools Commission on Colleges (SACSCOC). To gain or maintain accreditation with the Commission on Colleges, an institution must comply with the standards contained in the Principles of Accreditation: Foundations for Quality Enhancement and with the policies and procedures of the Commission on Colleges.After accreditation is issued, it must be reaffirmed every 10 years.",6761,"Sep 11, 2025 11:19 AM",Southern Association of College and Schools Commission on Colleges (SACSCOC),2015-12-01,2025-12-01,Southern Association of College and Schools Commission on Colleges (SACSCOC),https://credentialfinder.org/organization/14890,Southern Association of Colleges and Schools Commission on Colleges (SACSCOC) Accreditation,https://credentialfinder.org/resources/ce-57f9372a-42db-41cf-a424-1b346bdb2020,https://sacscoc.org/institutions/,Texas A&M University-Kingsville,https://credentialfinder.org/Organization/3507,Texas A&M University-Kingsville is a public university in Texas.,,,https://credentialfinder.org/CredentialingAction/6761,https://credentialengineregistry.org/resources/ce-0413fff0-94aa-45df-a6ac-d6442b8e8d49
Resource,ce-fccfc6c6-3809-4935-95ab-d29937419c9f,CredentialingAction,Accredit Action,Accreditation for Texas A&M University-Texarkana,"This institution has been acreditated by the Southern Association of Colleges and Schools Commission on Colleges (SACSCOC). To gain or maintain accreditation with the Commission on Colleges, an institution must comply with the standards contained in the Principles of Accreditation: Foundations for Quality Enhancement and with the policies and procedures of the Commission on Colleges.After accreditation is issued, it must be reaffirmed every 10 years.",6758,"Sep 11, 2025 11:19 AM",Southern Association of College and Schools Commission on Colleges (SACSCOC),2016-12-01,2026-12-01,Southern Association of College and Schools Commission on Colleges (SACSCOC),https://credentialfinder.org/organization/14890,Southern Association of Colleges and Schools Commission on Colleges (SACSCOC) Accreditation,https://credentialfinder.org/resources/ce-57f9372a-42db-41cf-a424-1b346bdb2020,https://sacscoc.org/institutions/,Texas A&M University-Texarkana,https://credentialfinder.org/Organization/4652,Texas A&M University-Texarkana is a public university in Texas.,,,https://credentialfinder.org/CredentialingAction/6758,https://credentialengineregistry.org/resources/ce-fccfc6c6-3809-4935-95ab-d29937419c9f
Resource,ce-db83e378-05eb-4e44-89b7-1317d0089e06,CredentialingAction,Accredit Action,Accreditation for West Texas A&M University,"This institution has been acreditated by the Southern Association of Colleges and Schools Commission on Colleges (SACSCOC). To gain or maintain accreditation with the Commission on Colleges, an institution must comply with the standards contained in the Principles of Accreditation: Foundations for Quality Enhancement and with the policies and procedures of the Commission on Colleges.After accreditation is issued, it must be reaffirmed every 10 years.",6609,"Sep 11, 2025 11:13 AM",Southern Association of College and Schools Commission on Colleges (SACSCOC),2016-12-01,2026-12-01,Southern Association of College and Schools Commission on Colleges (SACSCOC),https://credentialfinder.org/organization/14890,Southern Association of Colleges and Schools Commission on Colleges (SACSCOC) Accreditation,https://credentialfinder.org/resources/ce-57f9372a-42db-41cf-a424-1b346bdb2020,https://sacscoc.org/institutions/,West Texas A&M University,https://credentialfinder.org/Organization/3496,West Texas A&M University is a public university in Texas.,,,https://credentialfinder.org/CredentialingAction/6609,https://credentialengineregistry.org/resources/ce-db83e378-05eb-4e44-89b7-1317d0089e06
Resource,ce-9146bf55-9186-43fb-ae36-a81793b519b9,CredentialingAction,Accredit Action,Accreditation for Texas A&M University - Corpus Christi,"This institution has been acreditated by the Southern Association of Colleges and Schools Commission on Colleges (SACSCOC). To gain or maintain accreditation with the Commission on Colleges, an institution must comply with the standards contained in the Principles of Accreditation: Foundations for Quality Enhancement and with the policies and procedures of the Commission on Colleges.After accreditation is issued, it must be reaffirmed every 10 years.",6782,"Sep 11, 2025 11:20 AM",Southern Association of College and Schools Commission on Colleges (SACSCOC),2020-12-04,2030-12-02,Southern Association of College and Schools Commission on Colleges (SACSCOC),https://credentialfinder.org/organization/14890,Southern Association of Colleges and Schools Commission on Colleges (SACSCOC) Accreditation,https://credentialfinder.org/resources/ce-57f9372a-42db-41cf-a424-1b346bdb2020,https://sacscoc.org/institutions/,Texas A&M University-Corpus Christi,https://credentialfinder.org/Organization/3509,Texas A&M University-Corpus Christi is a public university in Texas.,,,https://credentialfinder.org/CredentialingAction/6782,https://credentialengineregistry.org/resources/ce-9146bf55-9186-43fb-ae36-a81793b519b9
Addendum,ce-9146bf55-9186-43fb-ae36-a81793b519b9,,,,,,,,,,,,,,,Texas A&M University Corpus Christi - Training Programs,https://credentialfinder.org/Organization/3419,"Texas A&M University - Corpus Christi primarily awards baccalaureate or higher degrees, the Workforce Development area offers career and certification training",,,,
Resource,ce-04c21f55-dade-4e64-8fd9-59cd6c1d029f,CredentialingAction,Accredit Action,Accreditation for Texas A&M University-Central Texas,"This institution has been acreditated by the Southern Association of Colleges and Schools Commission on Colleges (SACSCOC). To gain or maintain accreditation with the Commission on Colleges, an institution must comply with the standards contained in the Principles of Accreditation: Foundations for Quality Enhancement and with the policies and procedures of the Commission on Colleges.After accreditation is issued, it must be reaffirmed every 10 years.",6760,"Sep 11, 2025 11:19 AM",Southern Association of College and Schools Commission on Colleges (SACSCOC),2018-12-09,2028-12-01,Southern Association of College and Schools Commission on Colleges (SACSCOC),https://credentialfinder.org/organization/14890,Southern Association of Colleges and Schools Commission on Colleges (SACSCOC) Accreditation,https://credentialfinder.org/resources/ce-57f9372a-42db-41cf-a424-1b346bdb2020,https://sacscoc.org/institutions/,Texas A&M University-Central Texas,https://credentialfinder.org/Organization/4653,Texas A&M University-Central Texas is a public university in Texas.,,,https://credentialfinder.org/CredentialingAction/6760,https://credentialengineregistry.org/resources/ce-04c21f55-dade-4e64-8fd9-59cd6c1d029f
Resource,ce-fd0bcd6e-af2e-4a8a-b702-4e11b10514eb,CredentialingAction,Accredit Action,Accreditation for Texas A&M University-San Antonio,"This institution has been acreditated by the Southern Association of Colleges and Schools Commission on Colleges (SACSCOC). To gain or maintain accreditation with the Commission on Colleges, an institution must comply with the standards contained in the Principles of Accreditation: Foundations for Quality Enhancement and with the policies and procedures of the Commission on Colleges.After accreditation is issued, it must be reaffirmed every 10 years.",6759,"Sep 11, 2025 11:19 AM",Southern Association of College and Schools Commission on Colleges (SACSCOC),2019-12-08,2029-12-01,Southern Association of College and Schools Commission on Colleges (SACSCOC),https://credentialfinder.org/organization/14890,Southern Association of Colleges and Schools Commission on Colleges (SACSCOC) Accreditation,https://credentialfinder.org/resources/ce-57f9372a-42db-41cf-a424-1b346bdb2020,https://sacscoc.org/institutions/,Texas A&M University-San Antonio,https://credentialfinder.org/Organization/3510,Texas A&M University-San Antonio is a public university in Texas.,,,https://credentialfinder.org/CredentialingAction/6759,https://credentialengineregistry.org/resources/ce-fd0bcd6e-af2e-4a8a-b702-4e11b10514eb
Resource,ce-40bcb72c-7f19-4b10-be56-a79b04b110c4,CredentialingAction,Accredit Action,Accreditation for Louisiana State University and A&M College,"This institution has been acreditated by the Southern Association of Colleges and Schools Commission on Colleges (SACSCOC). To gain or maintain accreditation with the Commission on Colleges, an institution must comply with the standards contained in the Principles of Accreditation: Foundations for Quality Enhancement and with the policies and procedures of the Commission on Colleges.After accreditation is issued, it must be reaffirmed every 10 years.",7012,"Sep 11, 2025 11:29 AM",Southern Association of College and Schools Commission on Colleges (SACSCOC),2024-12-08,2034-12-01,Southern Association of College and Schools Commission on Colleges (SACSCOC),https://credentialfinder.org/organization/14890,Southern Association of Colleges and Schools Commission on Colleges (SACSCOC) Accreditation,https://credentialfinder.org/resources/ce-57f9372a-42db-41cf-a424-1b346bdb2020,https://sacscoc.org/institutions/,Louisiana State University and Agricultural & Mechanical College,https://credentialfinder.org/Organization/13469,"Louisiana State University and Agricultural & Mechanical College: A public, postsecondary institution located in Baton Rouge,Louisiana.",,,https://credentialfinder.org/CredentialingAction/7012,https://credentialengineregistry.org/resources/ce-40bcb72c-7f19-4b10-be56-a79b04b110c4
Resource,ce-523c6a46-2b72-40c9-9006-32d0e525d638,CredentialingAction,Accredit Action,Certification for Cybercrime Course at Texas A & M International University,"This course has met QM Course Design Standards for QM Higher Education Course Certification at a level of 85% or greater in a third-party peer review process by a review team that includes a subject matter expert and reviewers certified to evaluate online course design. This certification is valid for three years. Recertification allows the original QM Certification to be extended for up to three more years. The certification is provided to the specific course reviewed, identified by Course Name, Number, Subject, and Representative, as shown in the Quality Matters Certified Course Registry.",373,"Aug 16, 2024 10:11 PM",Quality Matters,2019-09-27,2024-09-27,Quality Matters,https://credentialfinder.org/organization/314,QM Higher Education Course Certification,https://credentialfinder.org/Credential/56309/qm-higher-education-course-certification,https://www.qualitymatters.org/reviews-certifications/qm-certified-courses,Cybercrime,,,Texas A & M International University,https://credentialfinder.org/organization/5089/Texas_A_-_M_International_University,https://credentialfinder.org/CredentialingAction/373,https://credentialengineregistry.org/resources/ce-523c6a46-2b72-40c9-9006-32d0e525d638
Resource,ce-8b73e9d1-c11b-4476-9dc1-4deea4da0b2c,CredentialingAction,Accredit Action,Certification for Entrepreneurship Course at Texas A & M International University,"This course has met QM Course Design Standards for QM Higher Education Course Certification at a level of 85% or greater in a third-party peer review process by a review team that includes a subject matter expert and reviewers certified to evaluate online course design. This certification is valid for three years. Recertification allows the original QM Certification to be extended for up to three more years. The certification is provided to the specific course reviewed, identified by Course Name, Number, Subject, and Representative, as shown in the Quality Matters Certified Course Registry.",5068,"Aug 16, 2024 5:57 PM",Quality Matters,2021-09-13,2026-09-13,Quality Matters,https://credentialfinder.org/organization/314,QM Higher Education Course Certification,https://credentialfinder.org/Credential/56309/qm-higher-education-course-certification,https://www.qualitymatters.org/reviews-certifications/qm-certified-courses,Entrepreneurship,,,Texas A & M International University,https://credentialfinder.org/organization/5089/Texas_A_-_M_International_University,https://credentialfinder.org/CredentialingAction/5068,https://credentialengineregistry.org/resources/ce-8b73e9d1-c11b-4476-9dc1-4deea4da0b2c
Resource,ce-3ef7ea75-c732-44a6-8d91-cdee98c85ad1,CredentialingAction,Accredit Action,Certification for Nutrition Course at Texas A & M International University,"This course has met QM Course Design Standards for QM Higher Education Course Certification at a level of 85% or greater in a third-party peer review process by a review team that includes a subject matter expert and reviewers certified to evaluate online course design. This certification is valid for three years. Recertification allows the original QM Certification to be extended for up to three more years. The certification is provided to the specific course reviewed, identified by Course Name, Number, Subject, and Representative, as shown in the Quality Matters Certified Course Registry.",5441,"Aug 16, 2024 4:03 PM",Quality Matters,2020-11-17,2025-11-17,Quality Matters,https://credentialfinder.org/organization/314,QM Higher Education Course Certification,https://credentialfinder.org/Credential/56309/qm-higher-education-course-certification,https://www.qualitymatters.org/reviews-certifications/qm-certified-courses,Nutrition,,,Texas A & M International University,https://credentialfinder.org/organization/5089/Texas_A_-_M_International_University,https://credentialfinder.org/CredentialingAction/5441,https://credentialengineregistry.org/resources/ce-3ef7ea75-c732-44a6-8d91-cdee98c85ad1
Resource,ce-5c394e62-c23b-4afe-b54a-6b93f345fe17,CredentialingAction,Accredit Action,Certification for Criminology Course at Texas A & M International University,"This course has met QM Course Design Standards for QM Higher Education Course Certification at a level of 85% or greater in a third-party peer review process by a review team that includes a subject matter expert and reviewers certified to evaluate online course design. This certification is valid for three years. Recertification allows the original QM Certification to be extended for up to three more years. The certification is provided to the specific course reviewed, identified by Course Name, Number, Subject, and Representative, as shown in the Quality Matters Certified Course Registry.",5262,"Aug 16, 2024 3:49 PM",Quality Matters,2023-02-02,2028-02-02,Quality Matters,https://credentialfinder.org/organization/314,QM Higher Education Course Certification,https://credentialfinder.org/Credential/56309/qm-higher-education-course-certification,https://www.qualitymatters.org/reviews-certifications/qm-certified-courses,Criminology,,,Texas A & M International University,https://credentialfinder.org/organization/5089/Texas_A_-_M_International_University,https://credentialfinder.org/CredentialingAction/5262,https://credentialengineregistry.org/resources/ce-5c394e62-c23b-4afe-b54a-6b93f345fe17
Resource,ce-74170812-05f5-43e0-880e-439b5b7744da,CredentialingAction,Accredit Action,Certification for Pathophysiology Course at Texas A & M International University,"This course has met QM Course Design Standards for QM Higher Education Course Certification at a level of 85% or greater in a third-party peer review process by a review team that includes a subject matter expert and reviewers certified to evaluate online course design. This certification is valid for three years. Recertification allows the original QM Certification to be extended for up to three more years. The certification is provided to the specific course reviewed, identified by Course Name, Number, Subject, and Representative, as shown in the Quality Matters Certified Course Registry.",168,"Aug 16, 2024 3:14 PM",Quality Matters,2019-06-14,2024-06-14,Quality Matters,https://credentialfinder.org/organization/314,QM Higher Education Course Certification,https://credentialfinder.org/Credential/56309/qm-higher-education-course-certification,https://www.qualitymatters.org/reviews-certifications/qm-certified-courses,Pathophysiology,,,Texas A & M International University,https://credentialfinder.org/organization/5089/Texas_A_-_M_International_University,https://credentialfinder.org/CredentialingAction/168,https://credentialengineregistry.org/resources/ce-74170812-05f5-43e0-880e-439b5b7744da
