Row Type,CTID,CTDL Type,CTDL Type Label,Name,Description,Life Cycle Status Type,Address,Finder ID,Identifier,In Language(s),Last Updated,Owned By/Offered By,Published By,Time Estimate(s),Occupation Code(s),Instructional Program Code(s),Delivery Type(s),Subject Webpage,Keywords,Financial Assistance,Requirements Description(s),Finder Detail Page,Registry URI,Required Credit,Estimated Cost(s),Estimated Cost Details
Resource,ce-e376fa60-61ee-4d48-b5cd-6f20d724d887,ceterms:LearningOpportunityProfile,Learning Opportunity,Manufacturing Management B M M--Crookston,Operations Management and Supervision. A program that prepares individuals to manage and direct the physical and/or technical functions of a firm or organization particularly those relating to development production and manufacturing.  Includes instruction in principles of general management manufacturing and production systems plant management equipment maintenance management production control industrial labor relations and skilled trades supervision strategic manufacturing policy systems analysis productivity analysis and cost control and materials planning.,Active,2900 University Ave.; Crookston; Minnesota; 56716,5404,,English,"Aug 9, 2021 11:26 AM","University of Minnesota, Crookston",Minnesota Department of Employment and Economic Development (DEED),,,,Online Only,http://www.umcrookston.edu,,,,https://credentialfinder.org/LearningOpportunity/5404,https://credentialengineregistry.org/resources/ce-e376fa60-61ee-4d48-b5cd-6f20d724d887,,,
Resource,ce-61e3a206-6fd7-47b5-8181-d4e4abed560a,ceterms:LearningOpportunityProfile,Learning Opportunity,Quality Management B M M--Crookston,Business Management Marketing and Related Support Services Other.,Active,2900 University Ave.; Crookston; Minnesota; 56716,5401,,English,"Aug 9, 2021 11:16 AM","University of Minnesota, Crookston",Minnesota Department of Employment and Economic Development (DEED),,,,In-Person,http://www.umcrookston.edu,,,,https://credentialfinder.org/LearningOpportunity/5401,https://credentialengineregistry.org/resources/ce-61e3a206-6fd7-47b5-8181-d4e4abed560a,,,
Resource,ce-7fdecd5d-1e29-4cc4-9c36-35f946ceea7f,ceterms:Course,Course,MICR-M 310 - Microbiology,Application of fundamental biological principles to the study of microorganisms. Significance of microorganisms to humans and their environment.,Active,,289783,"Typically Offered: Spring, Fall",English,"Apr 9, 2025 1:11 PM",Indiana University Southeast,,,,,,https://sisjee.iu.edu/sisigps-prd/web/igps/course/search/,,,,https://credentialfinder.org/LearningOpportunity/289783,https://credentialengineregistry.org/resources/ce-7fdecd5d-1e29-4cc4-9c36-35f946ceea7f,,,
Resource,ce-fc694062-591a-4562-9006-72e8a160a6b4,ceterms:Course,Course,M 111 Technical Mathematics,"This course reviews the fundamental mathematical operations and explains their applications to the trades fields. Course topics will include: decimal and fraction operations and conversions, the metric and English systems of measurement, and basic geometry as applied to common shapes and forms. Reading and using various measurement tools, including standard metric rulers, tape measures, and the architect's and engineer's scales will also be covered. The course includes an introduction to the trig functions and their uses. The course will also include trades-specific projects.",Active,,314486,,English,"Sep 16, 2025 8:06 AM",Great Falls College,,5 Months,,,In-Person,https://catalog.gfcmsu.edu/course-descriptions/m/,Dual Enrollment Pathway | Math,,,https://credentialfinder.org/LearningOpportunity/314486,https://credentialengineregistry.org/resources/ce-fc694062-591a-4562-9006-72e8a160a6b4,,"Cost #1 | Cost Profile | Costs for ths course are reduced for high school students through the Montana University System's 1, 2, Free program, and a discounted tuition rate of 50%. The standard costs for this course are detailed on Great Falls College's Tuition and Fees webpage. | https://www.gfcmsu.edu/home/campus-departments/student-accounts/tuition-fees/",No Details Available
Resource,ce-9cfa3bd9-b8d0-4908-8a53-6e16881de78c,ceterms:Course,Course,AHLT-M 330 - Medical Terminology,"This course is the study of the language of medicine, including word construction, definitions, spelling, and abbreviations. It provides a basic knowledge of anatomy and physiology, pathology, surgical procedures, laboratory and radiology procedures, and pharmacology. Greek and Latin prefixes, suffixes, word roots, and combining forms are presented. Emphasis is forming a foundation for a medical vocabulary including definition, spelling, and pronunciation. Medical abbreviations, signs, and symbols are included.",Active,,289125,"Typically Offered: Spring, Summer, Fall",English,"Apr 9, 2025 12:51 PM",Indiana University Southeast,,,,,,https://sisjee.iu.edu/sisigps-prd/web/igps/course/search/,,,,https://credentialfinder.org/LearningOpportunity/289125,https://credentialengineregistry.org/resources/ce-9cfa3bd9-b8d0-4908-8a53-6e16881de78c,,,
Resource,ce-84d1385b-06b9-43ee-96de-3f918d6342c6,ceterms:Course,Course,BUS-M 330 - Consultative Selling,"This course is designed to provide insights into the sales profession by examining the role of persuasive communication and customer relationship management behaviors, principles, strategies, and actions. It will provide students an opportunity to plan, practice, and review those verbal behaviors associated with sales call success in order to persuade others to think differently regarding ideas, opinions, products, and services.",Active,,289108,"Typically Offered: Spring, Fall",English,"Apr 9, 2025 12:50 PM",Indiana University Southeast,,,,,,https://sisjee.iu.edu/sisigps-prd/web/igps/course/search/,,,,https://credentialfinder.org/LearningOpportunity/289108,https://credentialengineregistry.org/resources/ce-84d1385b-06b9-43ee-96de-3f918d6342c6,,,
Resource,ce-362bf11b-7826-4ad8-9cb9-631a629f237b,ceterms:Course,Course,BUS-M 405 - Consumer Behavior,"This course provides a detailed understanding of how marketers create value for customers, what motivates shoppers to buy, how consumers process information and make decisions, persuasion techniques, cross-cultural influences on consumer behavior, and the impact of sustainable business practices on consumer choice.",Active,,289090,"Typically Offered: Spring, Summer, Fall",English,"Apr 9, 2025 12:50 PM",Indiana University Southeast,,,,,,https://sisjee.iu.edu/sisigps-prd/web/igps/course/search/,,,,https://credentialfinder.org/LearningOpportunity/289090,https://credentialengineregistry.org/resources/ce-362bf11b-7826-4ad8-9cb9-631a629f237b,,,
Resource,ce-621d19ae-7e3b-4da8-ad5b-a5c547423b4d,ceterms:Course,Course,BUS-M 380 - Market Analytics,"This course provides you with the skills and tools required to understand and perform marketing analytics. Concisely, market analytics refers to the quantitative analysis of data to guide marketing decision making. With the increasing prevalence of internet and computers, marketing managers are faced with massive amounts of market and customer data. As such, companies are increasingly taking into account job applicants' knowledge of market analytics when making employment decisions.",Active,,289073,"Typically Offered: Spring, Summer, Fall",English,"Apr 9, 2025 12:49 PM",Indiana University Southeast,,,,,,https://sisjee.iu.edu/sisigps-prd/web/igps/course/search/,,,,https://credentialfinder.org/LearningOpportunity/289073,https://credentialengineregistry.org/resources/ce-621d19ae-7e3b-4da8-ad5b-a5c547423b4d,,,
Resource,ce-7ab13b5e-a092-480b-a5c6-cda3891af119,ceterms:Course,Course,BUEA-M 565 - Business Communication,"This course explores communication's role in business management, emphasizing written skills for emails, reports, and proposals, and oral skills for presentations, meetings, and interpersonal interactions. Additionally, it covers strategies for effective cross-cultural communication in a global context and analyzes communication challenges and new technologies.",Active,,289163,,English,"Apr 9, 2025 12:52 PM",Indiana University Southeast,,,,,,https://sisjee.iu.edu/sisigps-prd/web/igps/course/search/,,,,https://credentialfinder.org/LearningOpportunity/289163,https://credentialengineregistry.org/resources/ce-7ab13b5e-a092-480b-a5c6-cda3891af119,,,
Resource,ce-8ae14233-9f5b-41af-9f75-20956b87ae8d,ceterms:Course,Course,EDUC-M 310 - General Methods,"An introduction to instructional design, media and methodology appropriate to all teaching levels. Provides an orientation to classroom management, legal rights and responsibilities of students and teachers, disability awareness, human relations skills and other general methods concerns.",Active,,289808,Typically Offered: Fall,English,"Apr 9, 2025 1:11 PM",Indiana University Southeast,,,,,,https://sisjee.iu.edu/sisigps-prd/web/igps/course/search/,,,,https://credentialfinder.org/LearningOpportunity/289808,https://credentialengineregistry.org/resources/ce-8ae14233-9f5b-41af-9f75-20956b87ae8d,,,
