Row Type,CTID,CTDL Type,CTDL Type Label,Name,Alternate Name(s),Description,Life Cycle Status Type,Address,Finder ID,Identifier,Last Updated,Organization Type,Sector Type,Published By,Industry Code(s),Subject Webpage,Keywords,Finder Detail Page,Registry URI
Resource,ce-f2bfeccb-3bda-4457-a978-ac79762c4dbc,ceterms:CredentialOrganization,Credential Organization,Thompson M-TEC,,"We are an adult educational facility committed to providing training, coaching, supports & programs that meet the demands of the current job market.",Active,6364 136th Ave; Holland; Michigan; 49424,1865,,"Oct 25, 2024 8:25 PM",Postsecondary Educational Institution,Public Institution,Michigan Department of Labor and Economic Opportunity - Workforce Development,,http://www.oaisd.org,,https://credentialfinder.org/Organization/1865,https://credentialengineregistry.org/resources/ce-f2bfeccb-3bda-4457-a978-ac79762c4dbc
Resource,ce-f98c2976-9cf1-4141-8318-b436e0faa924,ceterms:CredentialOrganization,Credential Organization,B&M Career Institute,,"Career School offering training for professions in Heathcare, Dental Assisting, and IT",Active,"9550 Forest Lane, Suite 515; Dallas; Texas; 75243",4076,,"Mar 26, 2025 2:07 PM",Education and Training Provider,Private For-Profit,,,http://www.bmcareerinstitute.com,,https://credentialfinder.org/Organization/4076,https://credentialengineregistry.org/resources/ce-f98c2976-9cf1-4141-8318-b436e0faa924
Resource,ce-f6798e2f-ce41-44fa-8b6c-09ff0553a67c,ceterms:CredentialOrganization,Credential Organization,Texas A&M University,,Texas A&M University is a public university in Texas.,Active,JKW Administration Building  Suite 200; College Station; Texas; 77843-1248,3505,,"Oct 29, 2024 4:06 PM",Postsecondary Educational Institution | Four-Year College,Public Institution,Texas Higher Education Coordinating Board (THECB),,https://www.tamu.edu,,https://credentialfinder.org/Organization/3505,https://credentialengineregistry.org/resources/ce-f6798e2f-ce41-44fa-8b6c-09ff0553a67c
Resource,ce-031eed61-d0ac-4185-a176-bd9acd6ac6f6,ceterms:CredentialOrganization,Credential Organization,Arthur M. Brazier Foundation,,Arthur M. Brazier Foundation offers the following training programs: BSD Industries Robotics Technician Training Program,Active,9501 South King Drive; Chicago; Illinois; 60628,2550,,"Jun 9, 2022 5:07 PM",Education and Training Provider,Private Not-For-Profit,"Illinois Department of Commerce and Economic Opportunity, Office of Employment and Training",,http://www.bsdindustries.org,,https://credentialfinder.org/Organization/2550,https://credentialengineregistry.org/resources/ce-031eed61-d0ac-4185-a176-bd9acd6ac6f6
Resource,ce-1c3af65f-3062-4d4e-a875-bddf1a9503ae,ceterms:CredentialOrganization,Credential Organization,"LE&M Contractors, LLC",,"LE&M Contractors offers a forward-thinking apprenticeship program that merges traditional trade skills with cutting-edge technology. Providing apprenticeships in landscape management and accounting technician roles, the program includes XR simulations and AI-driven learning modules to foster real-world skills in virtual environments. Apprentices gain hands-on trade training, guided mentorship, and AI-powered progress tracking, along with financial literacy training to support long-term career stability. Accessible to underrepresented communities, this apprenticeship program aims to create a skilled workforce prepared for the demands of a tech-driven economy.",Active,"539 W Commerce Street, Suite 1098; Dallas; Texas; 75208",15246,,"Jun 20, 2025 10:47 AM",Education and Training Provider,Public Institution,,,https://business.fwmbcc.org/list/member/le-m-contractors-llc-5131,,https://credentialfinder.org/Organization/15246,https://credentialengineregistry.org/resources/ce-1c3af65f-3062-4d4e-a875-bddf1a9503ae
Resource,ce-8bb33c92-a129-457a-b524-87956ed44eb3,ceterms:CredentialOrganization,Credential Organization,Alabama A & M University,,"Alabama A & M University: A public, postsecondary institution located in Normal,Alabama.",Active,4900 Meridian Street; Normal; Alabama; 35762,12795,IPEDS NCES Data Year: 2023,"Apr 21, 2025 3:39 PM",Postsecondary Educational Institution | Four-Year College,Public Institution,,,https://www.aamu.edu/,,https://credentialfinder.org/Organization/12795,https://credentialengineregistry.org/resources/ce-8bb33c92-a129-457a-b524-87956ed44eb3
Resource,ce-53b92fb5-a6dc-4832-8b35-542ced17155b,ceterms:CredentialOrganization,Credential Organization,M T Training Center,,"M T Training Center: A private, for-profit, postsecondary institution located in Grand Prairie,Texas.",Active,1801 S. Great Southwest Parkway; Grand Prairie; Texas; 75051,11620,IPEDS NCES Data Year: 2023,"Apr 21, 2025 2:17 PM",Postsecondary Educational Institution | Two-Year College,Private For-Profit,,,https://mttrainingcenter.org/,,https://credentialfinder.org/Organization/11620,https://credentialengineregistry.org/resources/ce-53b92fb5-a6dc-4832-8b35-542ced17155b
Resource,ce-4cfda8c0-45f7-4006-ae7a-5fbf661eb8a8,ceterms:CredentialOrganization,Credential Organization,Texas A&M International University,,Texas A&M International University is a public university in Texas.,Active,5201 University Blvd; Laredo; Texas; 78041-1900,4655,,"Oct 29, 2024 3:28 PM",Postsecondary Educational Institution | Four-Year College,Public Institution,Texas Higher Education Coordinating Board (THECB),,https://www.tamiu.edu,,https://credentialfinder.org/Organization/4655,https://credentialengineregistry.org/resources/ce-4cfda8c0-45f7-4006-ae7a-5fbf661eb8a8
Resource,ce-2a92ff55-68ad-4f5c-8f31-b535ce1b104c,ceterms:CredentialOrganization,Credential Organization,Prairie View A&M University,,Prairie View A&M University is a public university in Texas.,Active,FM 1098 Road & University Drive; Prairie View; Texas; 77446,4659,,"Oct 29, 2024 11:15 AM",Postsecondary Educational Institution | Four-Year College,Public Institution,Texas Higher Education Coordinating Board (THECB),,https://www.pvamu.edu,,https://credentialfinder.org/Organization/4659,https://credentialengineregistry.org/resources/ce-2a92ff55-68ad-4f5c-8f31-b535ce1b104c
Resource,ce-60ae97cf-9dec-4dd8-89bc-3fb6099087dc,ceterms:CredentialOrganization,Credential Organization,Radford M Locklin Technical College,,"Radford M Locklin Technical College is operated under the Santa Rosa County School district, is accredited by the Council of Occupational Educaiton and  offers postsecondary training career certifcate programs along with a limited number of secondary career certificate programs.",Active,5330 Berryhill Rd; Milton; Florida; 32570-8015,4975,,"Jan 12, 2024 11:14 AM",Postsecondary Educational Institution | Career and Technical School,Public Institution,Florida Virtual Campus,,https://www.locklintech.com,,https://credentialfinder.org/Organization/4975,https://credentialengineregistry.org/resources/ce-60ae97cf-9dec-4dd8-89bc-3fb6099087dc
