Row Type,CTID,CTDL Type,CTDL Type Label,Name,Description,Life Cycle Status Type,Finder ID,Identifier,Last Updated,Owned By/Offered By,Subject Webpage,Start Date,End Date,Transfer Value Credit,Transfer Value Credit Level(s),Transfer Value Credit Unit(s),Transfer Value Credit Subject(s),Transfer Value From - Finder URL,Transfer Value From Resource - Type,Transfer Value From Resource - Name,Transfer Value From Resource - Description,Transfer Value From Resource - Provider - Name,Transfer Value From Resource - Provider - Finder URL,Transfer Value For Resource - Type,Transfer Value For Resource - Name,Transfer Value For Resource - Description,Transfer Value For Resource - Provider - Name,Finder Detail Page,Registry URI
Resource,ce-a0faf6a5-3d9a-4bf2-b2ab-c351bbd8d665,ceterms:TransferValueProfile,Transfer Value Profile,Indiana University East's MATH-M 125 + MATH-M 126: Pre-Calculus Mathematics + Trigonometric Functions - Indiana Core Transfer Library (CTL) Transfer Value Profile,"Using Indiana's Core Transfer Library (CTL) makes it easy to find out. The CTL is a comprehensive, continually updated list of courses that are pre-approved for transfer between all Indiana public college and university campuses and five independent colleges and universities (assuming adequate grades were earned).",Active,19784,"Core Transfer Library (CTL) Course Name: Algebra, College + Trigonometric Functions | Indiana Core Transfer Library Category: Math | Note: Issues with the match","Oct 24, 2024 8:37 PM",Indiana University East,https://transferin.net/transfer-resources/transfer-databases/core-transfer-library/#ce-a0faf6a5-3d9a-4bf2-b2ab-c351bbd8d665,2024-10-24,,6,Post-Secondary Level,Semester Hour,MATH-M 125 + MATH-M 126,"https://credentialfinder.org/LearningOpportunity/270210/Algebra,_College",Course,"Algebra, College","The Core Transfer Library (CTL) is a comprehensive, continually updated list of courses that are pre-approved for transfer between all Indiana public college and university campuses and five independent colleges and universities (assuming adequate grades were earned).",Indiana Commission for Higher Education,"https://credentialfinder.org/LearningOpportunity/270210/Algebra,_College",Course,Indiana University East's Pre-Calculus Mathematics + Trigonometric Functions,No Description,Unknown Provider,https://credentialfinder.org/TransferValueProfile/19784,https://credentialengineregistry.org/resources/ce-a0faf6a5-3d9a-4bf2-b2ab-c351bbd8d665
Addendum,ce-a0faf6a5-3d9a-4bf2-b2ab-c351bbd8d665,,,,,,,,,,,,,,,,,https://credentialfinder.org/LearningOpportunity/270179/Trigonometric_Functions,Course,Trigonometric Functions,"The Core Transfer Library (CTL) is a comprehensive, continually updated list of courses that are pre-approved for transfer between all Indiana public college and university campuses and five independent colleges and universities (assuming adequate grades were earned).",Indiana Commission for Higher Education,https://credentialfinder.org/LearningOpportunity/270179/Trigonometric_Functions,,,,,,
Resource,ce-e9e57965-5a9e-45a0-82b2-e171b1175dfd,ceterms:TransferValueProfile,Transfer Value Profile,Indiana University Bloomington's MATH-M 125 + MATH-M 126: Precalculus Mathematics and Trigonometric Functions - Indiana Core Transfer Library (CTL) Transfer Value Profile,"Using Indiana's Core Transfer Library (CTL) makes it easy to find out. The CTL is a comprehensive, continually updated list of courses that are pre-approved for transfer between all Indiana public college and university campuses and five independent colleges and universities (assuming adequate grades were earned).",Active,19771,"Core Transfer Library (CTL) Course Name: Algebra, College | Indiana Core Transfer Library Category: Math","Oct 24, 2024 8:08 PM",Indiana University Bloomington,https://transferin.net/transfer-resources/transfer-databases/core-transfer-library/#ce-e9e57965-5a9e-45a0-82b2-e171b1175dfd,2024-10-24,,6,Post-Secondary Level,Semester Hour,MATH-M 125 + MATH-M 126,"https://credentialfinder.org/LearningOpportunity/270210/Algebra,_College",Course,"Algebra, College","The Core Transfer Library (CTL) is a comprehensive, continually updated list of courses that are pre-approved for transfer between all Indiana public college and university campuses and five independent colleges and universities (assuming adequate grades were earned).",Indiana Commission for Higher Education,"https://credentialfinder.org/LearningOpportunity/270210/Algebra,_College",Course,Indiana University Bloomington's Precalculus Mathematics and Trigonometric Functions,No Description,Unknown Provider,https://credentialfinder.org/TransferValueProfile/19771,https://credentialengineregistry.org/resources/ce-e9e57965-5a9e-45a0-82b2-e171b1175dfd
Resource,ce-1083e906-71e2-bf05-ed24-07b03395b0cc,ceterms:TransferValueProfile,Transfer Value Profile,"Indiana University South Bend's MICR-M 250, MICR-M 255: Microbial Cell Biology + Lab - Indiana Core Transfer Library (CTL) Transfer Value Profile","Using Indiana's Core Transfer Library (CTL) makes it easy to find out. The CTL is a comprehensive, continually updated list of courses that are pre-approved for transfer between all Indiana public college and university campuses and five independent colleges and universities (assuming adequate grades were earned).",Active,18856,Core Transfer Library (CTL) Course Name: Microbiology for the Health Sciences | Indiana Core Transfer Library Category: Life and Physical/Natural Sciences,"Oct 24, 2024 8:01 PM",Indiana University South Bend,https://transferin.net/transfer-resources/transfer-databases/core-transfer-library/#ce-1083e906-71e2-bf05-ed24-07b03395b0cc,2024-10-24,,5,Post-Secondary Level,Semester Hour,"MICR-M 250, MICR-M 255",https://credentialfinder.org/LearningOpportunity/270236/Microbiology_for_the_Health_Sciences,Course,Microbiology for the Health Sciences,"The Core Transfer Library (CTL) is a comprehensive, continually updated list of courses that are pre-approved for transfer between all Indiana public college and university campuses and five independent colleges and universities (assuming adequate grades were earned).",Indiana Commission for Higher Education,https://credentialfinder.org/LearningOpportunity/270236/Microbiology_for_the_Health_Sciences,Course,Indiana University South Bend's Microbial Cell Biology + Lab,No Description,Unknown Provider,https://credentialfinder.org/TransferValueProfile/18856,https://credentialengineregistry.org/resources/ce-1083e906-71e2-bf05-ed24-07b03395b0cc
Resource,ce-e4476d8a-91b1-49d5-b338-9a0420388027,ceterms:TransferValueProfile,Transfer Value Profile,Indiana University South Bend's MATH-M 125 + MATH-M 126: Precalculus Mathematics and Trigonometric Functions - Indiana Core Transfer Library (CTL) Transfer Value Profile,"Using Indiana's Core Transfer Library (CTL) makes it easy to find out. The CTL is a comprehensive, continually updated list of courses that are pre-approved for transfer between all Indiana public college and university campuses and five independent colleges and universities (assuming adequate grades were earned).",Active,19751,"Core Transfer Library (CTL) Course Name: Algebra, College | Indiana Core Transfer Library Category: Math","Oct 24, 2024 8:02 PM",Indiana University South Bend,https://transferin.net/transfer-resources/transfer-databases/core-transfer-library/#ce-e4476d8a-91b1-49d5-b338-9a0420388027,2024-10-24,,6,Post-Secondary Level,Semester Hour,MATH-M 125 + MATH-M 126,"https://credentialfinder.org/LearningOpportunity/270210/Algebra,_College",Course,"Algebra, College","The Core Transfer Library (CTL) is a comprehensive, continually updated list of courses that are pre-approved for transfer between all Indiana public college and university campuses and five independent colleges and universities (assuming adequate grades were earned).",Indiana Commission for Higher Education,"https://credentialfinder.org/LearningOpportunity/270210/Algebra,_College",Course,Indiana University South Bend's Precalculus Mathematics and Trigonometric Functions,No Description,Unknown Provider,https://credentialfinder.org/TransferValueProfile/19751,https://credentialengineregistry.org/resources/ce-e4476d8a-91b1-49d5-b338-9a0420388027
Resource,ce-37cb94b2-f891-4919-a4d1-35c44e025888,ceterms:TransferValueProfile,Transfer Value Profile,"Indiana University Bloomington's BIOL-M 200,  BIOL-M 215: Microorganisms in Nature and Disease + Microorganism Lab - Indiana Core Transfer Library (CTL) Transfer Value Profile","Using Indiana's Core Transfer Library (CTL) makes it easy to find out. The CTL is a comprehensive, continually updated list of courses that are pre-approved for transfer between all Indiana public college and university campuses and five independent colleges and universities (assuming adequate grades were earned).",Active,19768,Core Transfer Library (CTL) Course Name: Microbiology for the Health Sciences | Indiana Core Transfer Library Category: Life and Physical/Natural Sciences,"Oct 24, 2024 8:06 PM",Indiana University Bloomington,https://transferin.net/transfer-resources/transfer-databases/core-transfer-library/#ce-37cb94b2-f891-4919-a4d1-35c44e025888,2024-10-24,,4,Post-Secondary Level,Semester Hour,"BIOL-M 200,  BIOL-M 215",https://credentialfinder.org/LearningOpportunity/270236/Microbiology_for_the_Health_Sciences,Course,Microbiology for the Health Sciences,"The Core Transfer Library (CTL) is a comprehensive, continually updated list of courses that are pre-approved for transfer between all Indiana public college and university campuses and five independent colleges and universities (assuming adequate grades were earned).",Indiana Commission for Higher Education,https://credentialfinder.org/LearningOpportunity/270236/Microbiology_for_the_Health_Sciences,Course,Indiana University Bloomington's Microorganisms in Nature and Disease + Microorganism Lab,No Description,Unknown Provider,https://credentialfinder.org/TransferValueProfile/19768,https://credentialengineregistry.org/resources/ce-37cb94b2-f891-4919-a4d1-35c44e025888
Resource,ce-eadc764c-11dd-e82a-ae1c-00b744db013c,ceterms:TransferValueProfile,Transfer Value Profile,"Indiana University Northwest's BIOL-M 200, BIOL-M 215: Microorganisms in Nature and Disease + Microorganism Lab - Indiana Core Transfer Library (CTL) Transfer Value Profile","Using Indiana's Core Transfer Library (CTL) makes it easy to find out. The CTL is a comprehensive, continually updated list of courses that are pre-approved for transfer between all Indiana public college and university campuses and five independent colleges and universities (assuming adequate grades were earned).",Active,18798,Core Transfer Library (CTL) Course Name: Microbiology for the Health Sciences | Indiana Core Transfer Library Category: Life and Physical/Natural Sciences,"Oct 24, 2024 7:56 PM",Indiana University Northwest,https://transferin.net/transfer-resources/transfer-databases/core-transfer-library/#ce-eadc764c-11dd-e82a-ae1c-00b744db013c,2024-10-24,,4,Post-Secondary Level,Semester Hour,"BIOL-M 200, BIOL-M 215",https://credentialfinder.org/LearningOpportunity/270236/Microbiology_for_the_Health_Sciences,Course,Microbiology for the Health Sciences,"The Core Transfer Library (CTL) is a comprehensive, continually updated list of courses that are pre-approved for transfer between all Indiana public college and university campuses and five independent colleges and universities (assuming adequate grades were earned).",Indiana Commission for Higher Education,https://credentialfinder.org/LearningOpportunity/270236/Microbiology_for_the_Health_Sciences,Course,Indiana University Northwest's Microorganisms in Nature and Disease + Microorganism Lab,No Description,Unknown Provider,https://credentialfinder.org/TransferValueProfile/18798,https://credentialengineregistry.org/resources/ce-eadc764c-11dd-e82a-ae1c-00b744db013c
Resource,ce-6772e35e-6597-18ba-a663-6bf3730b6408,ceterms:TransferValueProfile,Transfer Value Profile,IUPUI's MATH-M 118: Finite Mathematics - Indiana Core Transfer Library (CTL) Transfer Value Profile,"Using Indiana's Core Transfer Library (CTL) makes it easy to find out. The CTL is a comprehensive, continually updated list of courses that are pre-approved for transfer between all Indiana public college and university campuses and five independent colleges and universities (assuming adequate grades were earned).",Active,19386,"Core Transfer Library (CTL) Course Name: Finite Mathematics | Indiana Core Transfer Library Category: Math | Note: IUB, IUPUI: Uindy's MATH 150 will be accepted as undistributed credit.","Oct 24, 2024 8:47 PM",Indiana University Indianapolis,https://transferin.net/transfer-resources/transfer-databases/core-transfer-library/#ce-6772e35e-6597-18ba-a663-6bf3730b6408,2024-10-24,,3,Post-Secondary Level,Semester Hour,MATH-M 118,https://credentialfinder.org/LearningOpportunity/270216/Finite_Mathematics,Course,Finite Mathematics,"The Core Transfer Library (CTL) is a comprehensive, continually updated list of courses that are pre-approved for transfer between all Indiana public college and university campuses and five independent colleges and universities (assuming adequate grades were earned).",Indiana Commission for Higher Education,https://credentialfinder.org/LearningOpportunity/270216/Finite_Mathematics,Course,IUPUI's Finite Mathematics,No Description,Unknown Provider,https://credentialfinder.org/TransferValueProfile/19386,https://credentialengineregistry.org/resources/ce-6772e35e-6597-18ba-a663-6bf3730b6408
Resource,ce-51157aba-134a-fc0b-5a3c-61814641ab62,ceterms:TransferValueProfile,Transfer Value Profile,Indiana University Bloomington's MATH-M 211: Calculus I - Indiana Core Transfer Library (CTL) Transfer Value Profile,"Using Indiana's Core Transfer Library (CTL) makes it easy to find out. The CTL is a comprehensive, continually updated list of courses that are pre-approved for transfer between all Indiana public college and university campuses and five independent colleges and universities (assuming adequate grades were earned).",Active,18943,Core Transfer Library (CTL) Course Name: Calculus 1 | Indiana Core Transfer Library Category: Math,"Oct 24, 2024 8:07 PM",Indiana University Bloomington,https://transferin.net/transfer-resources/transfer-databases/core-transfer-library/#ce-51157aba-134a-fc0b-5a3c-61814641ab62,2024-10-24,,4,Post-Secondary Level,Semester Hour,MATH-M 211,https://credentialfinder.org/LearningOpportunity/270211/Calculus_1,Course,Calculus 1,"The Core Transfer Library (CTL) is a comprehensive, continually updated list of courses that are pre-approved for transfer between all Indiana public college and university campuses and five independent colleges and universities (assuming adequate grades were earned).",Indiana Commission for Higher Education,https://credentialfinder.org/LearningOpportunity/270211/Calculus_1,Course,Indiana University Bloomington's Calculus I,No Description,Unknown Provider,https://credentialfinder.org/TransferValueProfile/18943,https://credentialengineregistry.org/resources/ce-51157aba-134a-fc0b-5a3c-61814641ab62
Resource,ce-af01e53b-b36d-6ba7-2591-cbc1790b5b62,ceterms:TransferValueProfile,Transfer Value Profile,Indiana University Bloomington's MATH-M 212: Calculus II - Indiana Core Transfer Library (CTL) Transfer Value Profile,"Using Indiana's Core Transfer Library (CTL) makes it easy to find out. The CTL is a comprehensive, continually updated list of courses that are pre-approved for transfer between all Indiana public college and university campuses and five independent colleges and universities (assuming adequate grades were earned).",Active,18942,Core Transfer Library (CTL) Course Name: Calculus 2 | Indiana Core Transfer Library Category: Math,"Oct 24, 2024 8:07 PM",Indiana University Bloomington,https://transferin.net/transfer-resources/transfer-databases/core-transfer-library/#ce-af01e53b-b36d-6ba7-2591-cbc1790b5b62,2024-10-24,,4,Post-Secondary Level,Semester Hour,MATH-M 212,https://credentialfinder.org/LearningOpportunity/270183/Calculus_2,Course,Calculus 2,"The Core Transfer Library (CTL) is a comprehensive, continually updated list of courses that are pre-approved for transfer between all Indiana public college and university campuses and five independent colleges and universities (assuming adequate grades were earned).",Indiana Commission for Higher Education,https://credentialfinder.org/LearningOpportunity/270183/Calculus_2,Course,Indiana University Bloomington's Calculus II,No Description,Unknown Provider,https://credentialfinder.org/TransferValueProfile/18942,https://credentialengineregistry.org/resources/ce-af01e53b-b36d-6ba7-2591-cbc1790b5b62
